C93L2_1	C93L2_2	C93L2_3	C93L3_1	C93L3_2	C93L3_3	C93L4_1	C93L4_2	C93L4_3	C93L5_1	C93L5_2	C93L5_3	C93L6_1	C93L6_2	C93N1_1	C93N1_2	C93N1_3	C93N2_1	C93N2_2	C93N2_3	C93P1a_1	C93P1a_2	C93P1a_3	C93P1c_1	C93P1c_2	C93P1c_3	C93P1g_1	C93P1g_2	C93P1g_3
243	272	0	264	233	83	414	398	117	1892	198	70	483	104	748	385	256	979	442	195	906	584	253	559	397	0	983	458	0
781	856	452	984	730	237	1220	1112	405	6421	639	228	2061	460	2795	1561	803	3549	1471	708	2814	2093	813	2191	1413	577	2927	1706	484
2244	2194	1067	2577	2105	592	3222	2865	1054	14202	1789	586	4648	1475	6688	4206	1956	7963	3961	1852	7932	6116	2297	5597	4224	1661	8037	4916	1434
3077	2856	1225	3523	2775	794	4512	3585	1280	17451	2321	894	5454	1993	8067	4869	2289	9421	4924	2279	10334	8150	3034	7381	5533	2180	10595	6535	1996
2175	2070	806	2483	1849	554	3263	2557	825	11457	1820	718	3125	1308	4531	2598	1322	5205	2797	1210	7635	5549	1927	5317	3467	1301	7915	4813	1398
2082	2071	751	2402	1817	598	3287	2330	830	10331	1803	730	2958	1177	3941	2252	1153	4562	2555	1061	7693	5545	1837	5204	3411	1248	8077	4769	1380
1437	1466	500	1658	1489	435	2431	1540	561	6843	1244	506	2182	683	2549	1432	748	3174	1730	711	5300	3842	1251	3764	2343	894	5901	3436	971
320	313	167	494	246	92	635	378	145	2651	297	101	361	119	797	429	244	997	512	215	1625	1081	321	995	515	224	1608	930	243
