C157B1_1	C157B1_2	C157B1_3	C157B2_1	C157B2_2	C157B2_3	C157Di1_1	C157Di1_2	C157Di2_1	C157Di2_2	C157Di2_3	C157LN4_1	C157LN4_2	C157LN4_3	C157N1_1	C157N1_2	C157N1_3	C157P10_1	C157P10_2	C157P10_3	C157P1_1	C157P1_2	C157P1_3	C157P2_1	C157P2_2	C157P2_3	C157P3_1	C157P3_2	C157P3_3	C157P4_1	C157P4_2	C157P4_3	C157P6_1	C157P6_2	C157P6_3	C157P9_1	C157P9_2	C157P9_3	C157TD1_1	C157TD1_2	C157TD1_3	C157TD2a_1	C157TD2a_3	C157TD2b_1	C157TD2b_2	C157TD2b_3	C157TD3_1	C157TD3_2	C157TD3_3	C157TD7_1	C157TD7_2	C157TD7_3	C157TD8_2	C157TD8_3
257	259	367	196	170	270	202	183	77	43	54	70	149	164	340	147	218	88	70	87	250	188	295	54	90	66	232	184	186	287	238	303	146	119	139	230	139	148	259	183	229	262	220	138	224	488	0	105	99	77	106	129	53	95
634	692	1017	578	526	736	592	457	214	98	205	180	479	517	767	410	557	253	187	250	685	565	724	178	239	202	746	597	528	722	630	956	326	340	430	632	392	479	700	512	662	649	657	353	654	1185	87	281	300	165	352	407	154	206
1878	2128	2773	1506	1513	2221	1602	1177	552	281	567	522	1299	1501	1960	1161	1543	661	642	774	1875	1679	2207	609	740	639	1979	1676	1805	2009	1746	2746	1036	1052	1331	1877	1193	1394	1927	1551	2080	1728	1905	1391	2133	3559	470	799	866	752	976	1180	269	287
3205	3608	4674	2712	2524	3818	2708	1914	846	456	937	934	2056	2496	3484	1978	2556	1190	1200	1459	3193	2994	4023	1075	1221	1137	3330	2802	3201	3380	2880	4476	1844	1811	2361	3480	2140	2472	3304	2567	3562	2931	3336	2668	3751	6113	882	1290	1522	1353	1602	1909	324	292
3747	4210	5377	3249	2949	4552	3161	2225	1026	543	1114	1167	2378	2876	4407	2301	3014	1450	1477	1806	3635	3568	4753	1193	1486	1337	3836	3306	3868	3856	3232	5113	2198	2162	2895	4147	2554	3058	3813	2949	4042	3468	3765	3213	4404	7282	902	1468	1734	1553	1808	2215	354	289
2980	3151	3835	2480	2163	3320	2312	1609	771	391	777	831	1795	2256	3586	1736	2033	1129	1139	1361	2646	2756	3481	800	1091	967	2987	2521	2802	2848	2356	3500	1698	1624	2239	3119	1942	2260	2779	2297	3001	2582	2665	2351	3382	5164	613	1040	1244	1094	1328	1656	225	219
910	898	1058	927	689	1021	730	406	247	109	244	239	488	553	1103	454	533	357	344	425	758	825	998	160	304	239	1002	755	816	837	578	969	515	475	652	925	621	717	955	607	845	822	743	556	903	1387	56	292	327	274	370	428	47	135
196	192	260	171	114	197	136	85	67	0	59	44	108	119	264	88	111	59	63	68	142	145	173	40	55	43	209	151	153	183	159	200	94	107	124	182	117	133	189	136	218	177	143	79	249	323	0	54	75	49	86	109	0	0
