C157B1_1	C157B1_2	C157B1_3	C157B2_1	C157B2_2	C157B2_3	C157Di1_1	C157Di1_2	C157Di2_1	C157Di2_2	C157Di2_3	C157LN4_1	C157LN4_2	C157LN4_3	C157N1_1	C157N1_2	C157N1_3	C157P10_1	C157P10_2	C157P10_3	C157P1_1	C157P1_2	C157P1_3	C157P2_1	C157P2_2	C157P2_3	C157P3_1	C157P3_2	C157P3_3	C157P4_1	C157P4_2	C157P4_3	C157P6_1	C157P6_2	C157P6_3	C157P9_1	C157P9_2	C157P9_3	C157TD1_1	C157TD1_2	C157TD1_3	C157TD2a_1	C157TD2a_3	C157TD2b_1	C157TD2b_2	C157TD2b_3	C157TD3_1	C157TD3_2	C157TD3_3	C157TD7_1	C157TD7_2	C157TD7_3	C157TD8_1	C157TD8_2	C157TD8_3
198	99	166	144	122	149	90	0	52	0	52	249	73	115	144	91	58	71	63	60	180	82	149	59	89	76	155	87	102	133	138	194	76	64	104	312	127	163	116	135	110	180	135	98	152	171	0	70	57	58	85	80	112	55	244
623	510	594	596	483	538	576	235	296	204	261	558	382	526	508	385	357	353	294	299	630	475	507	201	365	337	630	430	377	653	573	636	399	422	444	1348	478	564	540	537	631	676	584	290	702	875	84	340	351	304	352	440	519	235	185
3480	2744	3534	2999	2953	3709	3153	1519	1605	1437	1743	3526	2403	2856	2039	1914	2177	1806	1660	1973	4049	3468	3828	1518	2460	2327	2991	2893	3409	3796	3237	3904	2439	2563	3060	5679	2947	3242	2887	3413	3842	3596	4367	2545	4121	4930	1115	2412	2672	2235	2477	2921	1840	1360	1116
8301	6960	9092	7179	7167	9208	7506	3914	4058	3515	4398	8316	5743	6923	5044	5505	6091	5043	4945	5587	10025	8756	9862	3474	6036	5715	7050	7329	8282	9413	7849	9773	6182	6388	7659	13141	7944	8403	6716	8256	9016	8575	10331	6376	9698	11887	3206	6091	6656	5596	6122	7068	4265	2810	2756
11338	9645	12572	10167	9880	12646	9989	5467	5716	4932	6009	11180	7840	8922	6681	7347	8576	7332	7213	8117	13688	11540	13566	4767	8247	7462	9588	9927	10960	13184	11175	14087	8712	8896	10634	19573	11969	11601	8877	10737	12063	11581	13817	8774	13216	16129	4627	8477	9172	7451	8527	9437	5710	3355	3612
6168	5298	6967	5596	5386	7336	5571	2983	2944	2415	3103	5320	4012	4315	4353	4549	5118	4231	4309	4293	6912	5360	6614	1992	3881	3004	5021	5043	5651	7846	6642	8533	4351	4705	5413	14101	6701	5943	4192	5294	5637	5508	5846	4356	6735	8987	2506	4660	4511	3788	4298	4554	2566	1393	1376
3594	3212	4075	3328	2954	4047	3342	1965	1662	1282	1769	1858	1530	1376	3265	3522	3960	2710	2723	2609	2402	1772	2025	583	1197	948	2029	1979	2062	2852	2540	3383	1576	1877	2099	8250	3951	3148	1531	1904	1963	2077	1883	1641	2431	3437	899	1750	1486	1341	1707	1837	1309	670	513
919	719	1008	897	611	893	876	402	374	241	449	334	313	266	1026	745	961	689	584	640	530	311	320	105	249	161	485	373	405	569	386	707	245	340	405	2005	818	639	294	343	454	487	461	278	483	688	90	305	258	248	292	330	278	121	119
293	203	307	291	163	273	224	136	101	68	112	90	99	89	290	244	304	217	172	174	101	95	70	36	59	48	115	102	111	123	104	158	56	75	117	481	226	222	80	80	127	112	119	64	107	168	0	54	69	81	80	98	117	39	41
