E7A1a_1	E7A1a_2	E7A1a_3	E7B2c_1	E7B2c_3	E7B3g_1	E7B3g_2	E7B3g_3	E7P1b_1	E7P1b_2	E7P1b_3	E7A1b_1	E7A1b_2	E7A1b_3	E7B2d_1	E7B2d_2	E7B2d_3	E7B3h_1	E7B3h_3	E7P1c_1	E7P1c_2	E7P1c_3	E7B1a_1	E7B1a_2	E7B1a_3	E7B3a_1	E7B3a_2	E7B3a_3	E7B3i_1	E7B3i_2	E7B3i_3	E7B1b_1	E7B1b_2	E7B1b_3	E7B3b_1	E7B3b_2	E7B3b_3	E7B3j_1	E7B3j_2	E7B3j_3	E7B1c_1	E7B1c_2	E7B1c_3	E7B3c_1	E7B3c_2	E7B3c_3	E7N1_1	E7N1_2	E7N1_3	E7P1f_1	E7P1f_2	E7P1f_3	E7B1d_1	E7B1d_2	E7B1d_3	E7B3d_1	E7B3d_2	E7B3d_3	E7P2b_3	E7B2a_1	E7B2a_2	E7B2a_3	E7B3e_1	E7B3e_2	E7B3e_3	E7P2a_1	E7P2a_2	E7P2a_3	E7P2c_1	E7P2c_2	E7P2c_3	E7B2b_1	E7B2b_2	E7B2b_3	E7B3f_1	E7B3f_2	E7B3f_3	E7P1a_1	E7P1a_2	E7P1a_3	E7P2d_1	E7P2d_2	E7P2d_3	E7P2e_1	E7P2e_2	E7P2e_3	E7X1_1	E7X1_2	E7X1_3
353	409	367	1018	695	1127	1187	1088	1095	1406	931	1035	954	902	1156	678	708	935	689	994	972	1334	560	713	806	960	682	1208	791	772	1275	527	609	679	882	479	531	275	445	443	677	607	612	761	799	730	910	741	1002	1183	921	1022	805	659	610	1058	1278	565	256	844	426	746	572	471	772	329	523	465	139	240	384	684	607	804	1160	955	576	721	1264	672	258	309	217	78	192	178	355	337	334
931	873	630	2231	1520	2433	2823	2139	2506	3031	2070	2331	2242	1798	2632	1761	1885	2084	1435	2317	2172	2964	1218	1513	1834	2312	1695	2576	1614	1707	2360	1450	1540	1341	1783	859	1012	582	799	866	1219	1253	1483	1622	1655	1494	2294	1469	2329	2418	2064	2149	1815	1350	1248	2462	2944	1728	515	1724	807	1700	1228	888	1354	755	1108	1163	481	491	816	1556	1177	1665	2576	2198	1273	1630	2906	1246	687	505	284	212	304	402	864	718	734
2356	2204	1893	5871	4259	6307	7009	5182	6127	7316	4795	5966	5465	4730	7146	5259	5382	5787	3719	5965	5272	6976	3471	3601	4691	5594	4335	6510	4517	4632	6265	3829	3652	3871	4028	2085	2586	1923	2115	2041	2646	3162	4232	3804	4182	4142	6245	3803	6110	6793	5476	4902	4419	3170	3010	6275	7528	4565	1023	3968	1877	4249	2636	2090	2809	2032	2712	3058	1242	1006	1684	3822	2778	4241	6265	5149	4092	4037	7620	2970	1588	1059	499	586	774	1044	1807	1648	1844
3857	3966	3408	10422	7629	10446	11521	8676	11266	12934	8885	10654	9438	8289	13882	10583	10544	9966	6206	10664	10056	12811	6388	6396	8559	9866	7411	12016	8183	8317	11490	7397	7135	7424	6213	3528	4524	3449	3807	3710	4650	5890	8266	6518	7330	6915	11881	6847	10762	12614	9971	9049	7701	5520	5253	10701	12742	7705	1642	7155	3496	7987	4532	3339	4469	3576	4629	5086	2110	1689	2833	7525	5057	7848	11143	9321	7708	7014	13614	5550	2583	1864	806	1017	1288	1785	2943	2830	3042
4815	4879	4298	13070	9871	13106	14293	10881	14340	16758	11508	13582	12071	10381	19050	14721	14542	12797	7792	13621	12892	16524	8322	8470	11182	12960	9150	15375	10544	10387	14082	9637	9948	9771	7032	4208	5537	4562	5054	4658	6142	7421	11214	7962	9130	8572	14908	9266	13447	16552	13327	12135	9626	7007	6748	13925	15922	9771	1955	9265	4443	10160	5661	4089	5610	4408	5703	6364	2610	2010	3505	10223	6606	10159	15045	12536	10080	8936	18001	7018	3074	2490	971	1373	1659	2315	3518	3619	4015
4005	4209	3753	11100	8785	11241	12037	9356	12304	14820	9821	11569	10704	8781	17258	13344	12870	11065	6572	11339	11052	14185	7420	7323	9586	11693	7952	13676	9054	9082	11410	8604	9153	8937	5683	3245	4695	3764	4441	4217	5507	6727	10258	7193	7506	7382	12615	8031	11658	14668	11328	10539	8659	6065	5747	12404	13732	8227	1624	8348	3890	8978	5036	3422	4747	3679	4850	5355	2158	1690	2952	9009	5603	8953	13197	11036	8626	7923	15975	6189	2340	2138	832	1176	1382	1989	3004	3007	3525
1650	2037	1745	5068	4230	5172	5721	4192	5541	6519	4010	5662	4985	3793	8546	6138	6311	5017	2869	5053	4833	6082	3441	3428	4527	5415	3642	6390	3934	4255	4741	3939	4302	4165	2651	1289	1963	1632	2231	2040	2343	3083	4894	3657	3285	3437	5378	3901	5310	6784	5102	4822	3828	2889	2547	5742	6333	3557	668	3884	1762	4005	2420	1442	2023	1606	2194	2450	835	717	1364	4090	2422	3985	6224	5262	3787	3419	7391	2635	939	941	354	551	665	945	1305	1395	1601
329	262	275	1004	615	816	993	770	829	857	698	1092	879	826	1051	815	821	662	383	713	844	1084	513	486	638	788	478	947	546	611	708	556	655	605	559	117	313	120	239	205	384	428	765	612	538	455	656	477	673	742	689	621	715	483	335	891	976	669	184	750	219	555	315	200	379	287	364	471	160	155	269	716	358	732	996	868	505	553	936	464	227	146	59	82	114	152	197	271	240
