E7A1a_1	E7A1a_2	E7A1a_3	E7A1b_1	E7A1b_2	E7B1b_2	E7B1b_3	E7B1a_1	E7B1a_2	E7B1a_3	E7B1b_1	E7B1c_2	E7B1d_2	E7B2a_2	E7B2a_3	E7B2b_1	E7B2b_2	E7B2c_1	E7B2c_2	E7B2c_3	E7B2d_1	E7B2d_2	E7B2d_3	E7B3b_2	E7B3b_3	E7B3j_2	E7B3j_3	E7B3a_1	E7B3a_2	E7B3a_3	E7B3b_1	E7B3c_1	E7B3c_2	E7B3c_3	E7B3d_3	E7B3e_1	E7B3e_2	E7B3e_3	E7B3f_1	E7B3f_2	E7B3f_3	E7B3g_2	E7B3g_3	E7B3h_1	E7B3h_2	E7B3h_3	E7B3i_1	E7B3i_2	E7B3i_3	E7B3j_1	E7N1_1	E7N1_2	E7N1_3	E7P1a_1	E7P1a_2	E7P1a_3	E7P1b_1	E7P1b_2	E7P1b_3	E7P1c_1	E7P1c_2	E7P1c_3	E7P1f_1	E7P1f_2	E7P2a_1	E7P2a_2	E7P2a_3	E7P2b_1	E7P2b_2	E7P2c_1	E7P2c_2	E7P2c_3	E7P2d_1	E7P2d_2	E7P2d_3	E7P2e_2	E7P2e_3	E7P2f_1	E7P2f_2	E7P2f_3	E7P2g_2	E7P2g_3	E7P2h_1	E7P2h_2	E7P2h_3	E7X1_2	E7X1_3
1696	1213	694	145	324	762	132	729	377	86	1489	929	274	396	81	448	736	250	392	54	746	682	197	891	236	179	68	529	361	116	1116	1041	778	221	344	2759	415	439	1281	293	364	477	140	857	488	115	207	338	87	616	148	0	0	741	726	103	860	160	100	569	630	79	574	628	97	156	0	448	240	3044	2774	1437	617	411	71	163	92	180	103	89	329	114	866	624	287	331	109
3305	3091	1532	491	946	2509	335	2218	1168	259	4335	3296	796	1149	240	1618	2596	684	1249	135	2675	2627	769	2542	769	744	215	1725	1102	398	3729	3384	2850	713	1213	11417	1225	1643	4525	1092	1372	1658	432	2570	2035	319	603	1253	274	1951	444	307	0	2631	2212	369	2407	604	322	1888	2021	321	1635	1900	297	496	101	1504	989	7159	9496	3463	1774	1411	218	538	307	326	370	231	1048	355	2221	2082	1028	1069	334
9683	8469	3471	1524	2463	6923	860	5496	3320	606	11412	7661	1987	2899	552	2720	4520	1786	3508	311	5518	5714	1633	6419	1942	1588	542	4478	3083	1089	9630	8353	7388	1740	3001	25168	3091	3794	11547	2808	3178	4885	1105	5535	4696	715	1746	3319	802	4919	1813	1189	123	7081	6357	871	7614	1759	832	5424	5762	787	4388	5064	960	1192	268	2937	2236	7536	8294	3256	3406	2568	414	1418	687	1027	1002	554	2146	720	5626	5785	2325	2918	850
5946	5920	2248	1348	1853	3649	527	3296	1815	410	6210	3078	1553	1449	292	932	1561	1509	2494	326	1686	1647	555	4445	1410	1703	463	4587	3656	1135	7188	6560	5256	1260	1954	10617	1191	1615	5268	1338	1735	5473	1176	5353	4799	705	1967	4324	1032	3660	6259	3977	351	4058	3238	528	5202	1169	632	4501	4820	666	3239	3541	1492	1886	447	1685	1019	6348	6061	3321	2659	2081	370	1102	495	1380	990	435	1134	351	3467	4408	1286	1979	637
9425	9904	3382	2301	3375	5284	715	4871	2927	598	8709	4124	2936	2392	418	971	1620	3249	4824	568	1596	1681	477	7998	2337	3080	767	9225	7827	2129	12560	11812	9524	2218	3057	13679	1589	2080	6535	1550	2012	11201	2232	11055	9563	1286	4518	8770	2004	6372	13036	8966	750	6566	5656	816	10201	2351	1099	8810	9626	1289	5926	6706	3526	4751	967	2427	1556	11647	10952	5488	5038	3841	610	1928	849	3425	2364	776	1392	410	5612	7067	1899	3398	1047
9860	10019	3753	2500	3638	4964	653	5032	3078	632	8130	4595	3640	2916	508	1056	1658	4084	6347	728	1680	1744	489	9680	2790	3465	801	11955	9931	2531	14934	14800	11596	2586	3509	13724	1738	1998	5229	1220	1555	14001	2782	13456	11990	1556	5784	10938	2433	7514	15470	10421	839	7513	6998	961	12949	3023	1345	11298	12092	1609	7677	8257	4644	6377	1232	2930	1717	13345	11969	5778	5640	4474	692	2281	960	4324	3004	854	1319	408	6546	7595	2088	4153	1190
3336	3395	1539	1104	1677	1803	234	1210	722	173	3161	1209	1715	1596	254	340	626	2376	3218	427	422	457	144	4352	1331	1745	392	6409	5448	1374	6718	6709	5239	1200	1544	4363	487	684	1729	373	549	7448	1458	7405	6273	788	3190	5951	1402	3584	8906	6433	491	2741	2328	368	6028	1327	671	5576	5969	778	3678	3660	2743	3994	783	1061	643	5419	4722	2691	2635	1860	372	1028	450	2491	1870	530	436	166	2234	2785	1016	1858	546
1558	1407	677	521	657	807	115	354	207	68	1688	462	840	818	138	167	265	1065	1350	174	187	184	61	2141	558	678	176	2912	2339	628	3095	3233	2089	592	657	1476	185	243	746	151	204	3218	563	3255	2793	356	1507	2706	626	1498	3693	2655	190	1184	1063	168	2619	627	269	2319	2614	361	1879	1907	1334	1742	374	531	270	2511	2276	1193	1139	879	173	397	194	1025	649	247	187	87	1151	1185	452	876	225
