E7A1a_1	E7A1a_2	E7A1a_3	E7A1b_1	E7A1b_2	E7A1b_3	E7B1b_2	E7B1b_3	E7B1a_1	E7B1a_2	E7B1a_3	E7B1b_1	E7B1c_1	E7B1c_2	E7B1c_3	E7B1d_1	E7B1d_2	E7B1d_3	E7B2a_1	E7B2a_2	E7B2a_3	E7B2b_1	E7B2b_2	E7B2b_3	E7B2c_1	E7B2c_2	E7B2c_3	E7B2d_1	E7B2d_2	E7B2d_3	E7B3b_2	E7B3b_3	E7B3j_2	E7B3j_3	E7B3a_1	E7B3a_2	E7B3a_3	E7B3b_1	E7B3c_1	E7B3c_2	E7B3c_3	E7B3d_1	E7B3d_2	E7B3d_3	E7B3e_1	E7B3e_2	E7B3e_3	E7B3f_1	E7B3f_2	E7B3f_3	E7B3g_1	E7B3g_2	E7B3g_3	E7B3h_1	E7B3h_2	E7B3h_3	E7B3i_1	E7B3i_2	E7B3j_1	E7N1_1	E7N1_2	E7N1_3	E7P1a_1	E7P1a_2	E7P1a_3	E7P1b_1	E7P1b_2	E7P1b_3	E7P1c_1	E7P1c_2	E7P1c_3	E7P1f_1	E7P1f_2	E7P1f_3	E7P2a_1	E7P2a_2	E7P2a_3	E7P2b_1	E7P2b_2	E7P2b_3	E7P2c_1	E7P2c_2	E7P2c_3	E7P2d_1	E7P2d_2	E7P2d_3	E7P2e_1	E7P2e_2	E7P2e_3	E7P2f_1	E7P2f_2	E7P2f_3	E7P2g_1	E7P2g_2	E7P2g_3	E7P2h_1	E7P2h_2	E7P2h_3	E7X1_1	E7X1_2	E7X1_3
407	265	133	458	255	70	61	141	452	244	157	532	378	223	124	615	416	162	357	258	94	333	263	113	280	175	90	305	215	131	108	81	155	68	257	136	67	233	481	186	68	270	145	48	277	148	53	408	152	74	260	273	114	199	153	58	144	140	266	338	189	79	555	358	118	239	290	119	279	217	111	344	199	262	302	123	43	280	71	0	235	182	134	382	302	56	180	380	200	79	56	39	203	106	57	118	0	44	195	131	92
1405	824	471	1464	843	206	153	445	1338	766	465	1632	1315	796	290	2008	1369	470	1081	686	298	1093	940	382	903	507	317	1068	727	432	267	187	491	182	877	430	202	694	1100	564	218	856	427	178	809	434	198	1137	600	247	770	898	338	654	531	164	532	483	856	1004	605	263	1519	915	368	800	991	406	987	714	354	990	613	716	912	381	114	599	205	80	832	577	369	1362	927	205	613	1150	520	285	144	106	585	220	201	259	136	164	751	420	238
3430	2148	1198	3803	2170	561	448	1069	3210	1942	1092	4056	3173	1952	751	4901	3104	1250	2615	1802	768	2723	2554	984	2165	1465	729	2712	2131	1162	648	474	1361	560	2058	1151	511	1754	2548	1364	571	2132	1159	516	1980	1194	507	2903	1607	690	2155	2304	876	1776	1300	436	1531	1186	2099	2360	1405	687	3774	2283	954	2207	2632	1049	2567	1737	806	2282	1431	1597	2167	980	310	1339	560	222	1970	1351	869	3203	2054	552	1489	2743	1323	752	408	284	1419	635	525	632	366	402	1832	1087	625
5867	3963	2184	6724	3900	1059	885	1820	5519	3272	1948	6686	5110	3227	1291	7723	4988	2103	4578	3008	1315	4485	4070	1768	4155	2876	1454	4637	3749	2059	1213	749	2261	914	3740	2072	973	2950	3742	2300	942	3491	1971	873	3264	2041	924	4927	2795	1316	3835	4334	1650	3326	2432	900	2669	2058	3524	4057	2511	1215	6326	3771	1677	4165	4913	1905	4760	3050	1483	3874	2217	2494	3617	1658	589	2152	794	347	3437	2189	1290	5548	3060	1012	2942	4889	2356	1552	771	484	2240	1001	904	1071	649	652	3113	1634	1003
6974	4909	2761	8374	4943	1415	1168	2211	6642	4039	2320	8135	6350	3994	1544	9226	5982	2559	5968	3648	1678	5150	4973	2121	5553	3749	1879	5571	4525	2554	1521	929	2740	1097	5048	2757	1319	3715	4674	2955	1199	4452	2552	1161	4106	2542	1175	6116	3510	1653	5048	5725	2199	4494	3379	1252	3573	2674	4448	5736	3392	1638	8147	4809	2192	5625	6157	2526	6163	4014	1955	5037	2847	3279	4678	2126	748	2590	924	402	4297	2546	1527	6824	3587	1295	3844	5911	2943	2083	978	638	2649	1122	1023	1277	738	724	3863	2005	1157
5681	4142	2270	7557	4432	1304	1003	2074	5535	3500	2081	7301	5588	3805	1428	8653	5671	2404	5392	3365	1511	4483	4398	1879	5183	3571	1767	5083	3799	2217	1469	968	2597	1070	5193	2852	1359	3671	4494	2935	1123	4440	2624	1150	3918	2460	1042	5398	3132	1427	4591	5176	2052	4458	3325	1256	3596	2766	4201	6246	3766	1692	7692	4747	1964	5445	5933	2430	5816	4024	2001	5047	3063	3509	4677	2051	757	2290	890	393	3683	2501	1357	6054	3419	1186	3411	5119	2505	1957	973	618	2142	974	902	1111	740	649	3513	1985	1124
1997	1662	726	3260	1941	516	396	665	1607	1104	643	2397	1671	1282	413	2961	1815	779	2039	1230	564	1367	1260	471	2496	1702	760	1400	1032	567	564	391	1219	492	2960	1479	679	1728	1868	1383	527	2121	1147	511	1328	779	321	1608	1028	381	2040	2327	852	2304	1719	594	1805	1543	1934	3559	2182	1034	2379	1676	628	2043	2248	965	2429	1868	798	2250	1358	1487	2392	1160	376	994	378	140	1471	961	458	2587	1651	532	1569	2298	971	987	525	323	756	456	335	448	314	252	1600	915	485
496	349	159	645	419	138	51	165	380	189	84	540	382	252	82	696	380	184	552	268	107	274	249	94	525	356	156	216	201	108	142	96	307	108	604	282	132	418	416	296	110	422	266	105	276	149	65	361	207	71	427	437	187	428	369	135	326	315	286	788	431	207	603	347	131	364	476	208	515	357	182	451	296	283	614	280	85	195	113	42	297	271	109	590	389	97	267	557	234	222	156	71	148	101	96	99	81	68	308	225	113
