E7A1a_1	E7A1a_2	E7A1a_3	E7A1b_1	E7A1b_2	E7A1b_3	E7B1b_2	E7B1b_3	E7B1a_1	E7B1a_2	E7B1a_3	E7B1b_1	E7B1c_1	E7B1c_2	E7B1c_3	E7B1d_1	E7B1d_2	E7B1d_3	E7B2a_1	E7B2a_2	E7B2a_3	E7B2b_1	E7B2b_2	E7B2b_3	E7B2d_1	E7B2d_2	E7B2d_3	E7B3b_2	E7B3b_3	E7B3j_2	E7B3j_3	E7B3a_1	E7B3a_2	E7B3a_3	E7B3b_1	E7B3c_1	E7B3c_2	E7B3c_3	E7B3d_1	E7B3d_2	E7B3d_3	E7B3e_1	E7B3e_2	E7B3e_3	E7B3f_1	E7B3f_2	E7B3f_3	E7B3g_1	E7B3g_2	E7B3g_3	E7B3h_1	E7B3h_2	E7B3h_3	E7B3i_1	E7B3i_2	E7B3i_3	E7B3j_1	E7N1_1	E7N1_2	E7N1_3	E7P1a_1	E7P1a_2	E7P1a_3	E7P1b_1	E7P1b_2	E7P1b_3	E7P1c_1	E7P1c_2	E7P1c_3	E7P1f_1	E7P1f_2	E7P1f_3	E7P2a_1	E7P2a_2	E7P2a_3	E7P2b_1	E7P2b_2	E7P2b_3	E7P2c_1	E7P2c_2	E7P2c_3	E7P2d_1	E7P2d_2	E7P2d_3	E7P2e_1	E7P2e_2	E7P2e_3	E7P2f_1	E7P2f_2	E7P2f_3	E7P2g_1	E7P2g_2	E7P2g_3	E7P2h_1	E7P2h_2	E7P2h_3	E7X1_1	E7X1_2	E7X1_3
1091	365	341	495	827	563	660	705	293	603	627	606	380	607	645	391	695	266	682	619	749	986	599	669	555	632	387	327	270	461	536	606	489	428	415	516	603	541	706	774	429	677	651	527	915	186	509	685	719	668	665	723	490	672	647	445	458	584	628	579	605	725	393	726	699	589	806	771	709	617	663	501	636	606	580	1386	363	630	548	408	290	1336	477	503	871	906	537	1102	257	394	509	246	266	610	100	160	486	367	438
2116	1210	1082	1665	2058	1748	1860	1880	1166	1770	1850	1861	1276	1777	1934	1385	2034	963	2055	1914	2068	2374	1653	1729	1649	1606	1194	958	885	1145	1715	1880	1544	1197	1279	1501	1728	1612	2025	2017	1431	2032	1958	1526	2682	417	1256	2132	2295	1834	2087	2022	1620	1913	1734	1656	1299	1859	1932	1692	2017	1847	1441	1991	2235	1868	2308	2184	2343	1619	1733	1334	1656	1843	1616	2857	859	1435	1462	1264	898	2235	1431	1549	1839	2391	1708	3056	692	1101	1322	705	720	1545	276	474	1542	1048	1151
4130	3049	2432	4467	4953	3950	4461	4790	2921	3449	3855	4742	3071	3969	4980	2990	4095	2509	4361	4636	4369	4986	3983	3660	4386	4008	3201	2066	2054	2539	3297	4600	3092	2779	2653	3196	4337	3604	4738	4926	3252	5055	3846	3155	6157	781	2960	4937	5305	4488	4741	4848	3523	4120	3644	4221	3195	4454	5043	3578	4981	3731	3346	4897	5089	4855	5682	5243	5080	3503	4171	3184	3519	4000	3661	3477	1458	2765	3129	2603	1852	3427	3187	3676	2546	4726	3595	7739	1541	2024	2438	1519	1545	2595	582	980	3520	2516	2752
8098	6389	4760	8856	10449	8691	9677	9919	6695	7023	8300	10140	6619	9302	10125	6247	8299	5414	8551	9523	9746	8578	8713	7714	9275	8699	7105	4523	4275	5347	7393	9124	6795	6124	5496	6614	8552	8160	10307	10053	6966	10009	8075	7264	12215	1540	5916	10444	10384	9502	9783	9741	7763	8639	8117	8548	6695	9024	9769	7327	10637	8074	7518	10613	10129	10390	12105	11706	11052	7759	8715	6921	6476	7851	7141	3850	2455	4821	6281	4984	4068	6375	6067	7375	5360	8578	7240	13953	2868	4033	4796	2987	3122	4723	1160	1949	6844	4974	5051
11958	9157	7003	12872	15910	12699	15104	16079	10588	11353	12558	15267	10896	14577	15968	9950	12362	8389	12698	13806	14687	13143	13176	11977	14831	13862	11630	6493	6473	8007	10654	13453	9991	9530	8504	9957	13147	12278	14978	15149	10794	14909	13055	11796	19138	2734	9006	15923	15615	13863	14672	13827	11897	12396	12079	12292	9620	13050	14327	10608	16065	12791	11147	16072	15759	15556	18124	17310	16649	11236	12626	10430	8886	10753	9892	3497	3271	6333	8352	7046	5947	9213	8953	10495	7447	12378	10766	18925	3944	5775	6761	4355	4602	6584	1669	2910	9784	7055	6954
13179	10042	7501	14908	17727	14970	18344	18719	12495	13659	15286	18458	13423	18256	18679	11583	14110	10074	14315	15255	17368	15406	16062	13955	18473	17777	14355	7622	7103	9454	12280	15264	11512	10716	9352	11120	14649	14747	17012	16951	12526	18115	15768	14407	22514	3465	10929	17255	17208	16265	15939	15939	13218	13810	13516	12826	11172	13775	15486	11632	19120	14863	13068	18958	17721	18314	20800	20022	19034	13203	14418	11959	9601	10810	10520	2849	3447	6891	9157	7296	6428	9783	9472	11600	8470	13477	12033	18051	3974	6288	7387	4833	5039	7181	1826	3193	10345	8192	7205
10396	7783	6310	12196	14643	12173	16345	17000	11479	12549	13809	16185	12191	16310	16908	9784	12544	8980	12019	12503	14356	13563	13755	12753	16730	15872	13232	6256	5848	8048	9636	12376	9663	9162	7783	9260	12966	12448	14565	14278	10903	15967	14664	12815	19797	3248	9558	14471	14195	12811	12747	12601	10820	11120	11174	10140	9232	10592	11958	8849	17109	12829	11482	15756	14649	15524	16916	16590	16072	10741	11667	9821	7389	8394	7920	2069	2847	5135	7457	5682	5321	8005	7684	9203	6530	10848	9664	13639	2847	5119	6038	3928	4046	5665	1379	2532	8545	6433	5441
5632	4006	3413	6312	7526	6425	9719	9855	7054	7229	8869	9172	7240	9701	9710	5402	6502	5121	6619	6804	8154	7719	7672	7371	10200	9884	7960	3691	3023	4470	5050	6501	4951	4692	4239	4593	6920	7374	7426	7772	5795	9442	8682	7520	11819	1778	5495	7029	7522	6449	6141	6447	5374	5799	5265	4919	5053	4921	5637	4047	10123	6984	6071	8195	7780	8227	8849	8323	8277	5587	5853	4864	3515	3721	3708	1161	1434	2436	2935	2618	2643	4034	3763	4476	3294	5685	5004	6384	1668	3089	3208	2170	2362	2941	657	1357	4294	3471	2600
1821	1371	1191	2010	2304	1836	2633	2477	1747	1814	2438	2748	2095	2334	2670	1584	1683	1385	1984	1790	2504	2648	2552	2108	2608	2594	2396	1017	785	1059	1427	1441	1023	1270	1049	1375	1740	2216	2105	2398	1445	2883	2412	1880	3680	454	1536	2266	2172	1794	1866	1874	1680	1293	1719	1502	1157	1369	1592	1044	2282	1804	1887	2297	2005	2133	2292	2528	2461	1374	1565	1162	1263	1267	1088	280	451	813	1012	976	1016	1518	1237	1476	1175	1974	1649	2303	270	845	1097	716	650	1112	173	412	1357	1145	828
