E15B11a_1	E15B11a_2	E15B11a_3	E15B11b_1	E15B11b_2	E15B11b_3	E15B11c_1	E15B11c_2	E15B11c_3	E15B12_1	E15B12_2	E15B12_3	E15B1_2	E15B2_1	E15B2_2	E15B3_1	E15B3_2	E15B4_1	E15B4_2	E15B4_3	E15B5a_1	E15B5a_2	E15B5a_3	E15B5b_3	E15B6a_3	E15B6b_3	E15B6c_3	E15B6d_1	E15B6d_2	E15B6d_3	E15B7_1	E15B7_2	E15B7_3	E15B8_2	E15B9_1	E15B9_2	E15B9_3	E15L1_2	E15L1_3	E15L3_1	E15L3_2	E15L3_3	E15L4_1	E15L4_2	E15L4_3	E15L5_1	E15L5_2	E15L5_3	E15L7_2	E15L8_1	E15L8_2	E15L8_3	E15L9_1	E15L9_2	E15L9_3	E15N1_1	E15N1_2	E15N3_1	E15N3_2	E15N3_3	E15P10b_2	E15P10b_3	E15P11b_1	E15P11b_2	E15P11b_3	E15P12b_1	E15P12b_2	E15P13b_3	E15P14b_1	E15P14b_2	E15P14b_3	E15P15b_1	E15P15b_2	E15P15b_3	E15P1a_1	E15P1a_2	E15P3a_1	E15P3a_3	E15P4a_1	E15P4a_2	E15P5a_1	E15P5a_2	E15P5a_3	E15P6a_2	E15P7a_1	E15P7a_2	E15P7a_3	E15P8b_1	E15P8b_2	E15P9b_2	E15P9b_3	E15X2_1	E15X2_2	E15X2_3	E15X4_1	E15X4_2	E15X4_3	E15X6_1	E15X6_2	E15X6_3	E15X7_1	E15X7_2	E15X7_3	E15X8_1	E15X8_2	E15X8_3
1607	2290	1042	1428	2138	935	2203	2803	1018	1422	2612	700	3178	1602	2142	1382	1703	2181	1834	911	1320	766	212	901	711	947	723	1205	2517	686	1926	1643	979	2542	2076	1646	616	505	369	1021	613	540	1966	1751	778	1779	1738	802	1242	2200	1538	417	2233	1046	304	1571	2061	1368	3054	710	1641	703	1583	963	588	2967	1660	663	2500	1238	635	2547	1433	655	2431	1803	1740	820	2290	1356	2977	1702	675	2164	2511	1467	540	3005	1284	1362	675	675	320	287	973	906	346	1716	2022	812	1072	1850	637	1318	2103	781
5509	7977	3358	4816	7299	2932	6252	8208	2929	4089	8052	1864	8378	6042	6960	4685	5021	6160	5883	2385	4442	2331	650	2800	1761	2669	2095	4709	6522	2058	6559	4916	2675	7308	6270	5557	1744	1783	1027	2859	2157	1547	5289	5910	2544	5596	4836	2548	3739	6530	4304	1415	5271	3604	1086	4870	6508	5032	7653	1842	5506	2471	5635	3523	1959	8171	5562	1795	7930	3892	2071	8833	5077	1847	7986	5567	5850	2485	6368	3936	8072	5086	1973	7152	7640	4584	1400	9155	4462	4798	1902	2535	905	778	3518	2962	1065	5680	6085	2547	3703	4600	1896	4873	5555	2130
14482	18527	7436	13566	16490	6562	17183	17926	7002	11618	17228	4768	19848	15184	16539	11236	11874	15993	13643	5784	10046	5111	1656	6367	4476	5648	4473	11833	15135	4464	15877	12152	6384	18009	16182	11889	4390	4392	2626	8070	5040	3900	14306	14450	6051	13076	12212	5814	8305	16602	10683	3394	13715	8712	2521	12233	13989	12238	16473	4464	13673	5614	13108	8689	4863	21389	13415	4466	19441	10176	5041	19337	12104	4824	19388	14437	14115	5819	14992	10628	20596	13234	4681	17555	16389	12166	3652	20237	11269	11589	4793	6259	1895	1908	8887	7258	2556	14673	13003	5189	9566	10528	4383	12053	12819	4957
25647	25975	11554	23642	24873	9509	26653	24075	9939	17890	22284	6629	24512	25443	26151	18719	18205	26401	20164	8367	16000	6447	2327	9064	5870	7092	5825	19003	20357	6524	23935	15376	8093	24529	25731	17097	6649	6940	3944	12504	8379	5925	21721	22498	9224	20091	18585	9010	10124	23079	15284	4593	19268	12626	3759	19831	18232	20021	22315	6513	23628	8943	20647	14732	7866	26111	21137	6273	25915	15277	7349	25517	18524	7081	25470	24635	22016	8399	24031	16573	26458	18817	6489	23890	25134	17910	5079	25618	16967	18017	7150	10221	3171	3068	13854	10491	3659	22236	18262	7172	14069	14104	6147	17452	16689	6810
26880	25702	13789	27261	26624	11289	26616	26694	11438	21046	24838	7585	23513	25707	26002	23269	22088	26884	24644	10212	19827	7805	2909	11102	6656	8347	6773	22474	22524	7719	27109	17203	8942	26537	26439	20645	8034	8189	4569	14664	10091	6932	25337	26754	11130	24803	22845	11273	11839	25520	17050	5002	21647	14439	4334	25563	22147	25260	25137	8436	27400	10969	25700	18537	9887	25678	25554	7481	26347	18159	9011	25755	22122	8539	24998	27151	25941	9693	26555	20667	26432	21778	7739	26848	26342	20992	6215	25139	19845	21489	8821	12795	4075	3882	15925	12230	4183	25752	20896	8468	16818	16639	7341	20880	19435	8266
26548	25984	12625	25768	26013	10416	26665	25267	10543	19309	24770	6921	24024	25642	26661	20931	20528	27156	24580	10248	19049	7741	2951	11424	6287	7901	6817	18899	20605	7138	23930	16563	8147	26080	26372	20032	7663	7261	3930	12303	8490	6193	21113	22720	9418	23146	21681	10599	11717	21529	14763	4422	17647	12805	3817	25507	23877	24447	25448	8929	25420	9780	24438	16702	9356	25722	22585	7029	26233	17410	8649	25825	19610	7610	25216	26301	21808	8213	26081	20519	26315	19877	6998	23755	25891	19105	6026	25649	17731	19079	8146	11422	3883	3643	13379	10517	3443	22298	18718	8144	15667	16148	7043	19294	18692	8141
11766	14917	5640	10479	12347	4757	12008	11284	4526	9328	12272	3375	16780	13996	14501	9340	9806	17320	13541	5668	10387	4692	1626	5808	3208	4024	3398	7256	8983	2851	9407	7023	3478	11783	15983	10349	4047	2788	1682	4676	3533	2556	8185	9172	3810	10736	10881	5056	5441	7999	5428	1814	6889	5346	1573	14955	14218	13056	16863	5347	10569	4384	12152	7744	4592	15964	9640	3786	17937	8499	4621	14057	8448	3484	13152	10702	8347	3475	13721	10767	14247	9071	3153	8816	12638	9150	2950	12398	7303	8390	3935	4972	1931	1854	4730	3891	1343	9813	8223	3897	7154	7583	3509	8592	8749	3711
2168	3753	1566	2087	3242	1315	2103	3097	1115	1953	3000	795	3820	2970	3362	1920	2328	3669	3542	1432	2518	1110	457	1533	838	1049	913	1648	2352	782	1974	1616	957	2822	3611	2448	1011	567	406	969	649	622	1735	1997	839	2511	2220	1261	1427	1603	1426	381	1524	1220	350	3231	3741	3068	4150	1278	1985	1031	2564	1671	1173	3709	1830	819	4750	2138	1212	3729	1651	755	3153	2077	1879	843	3293	2213	3179	1915	773	1595	3451	2042	731	3376	1495	2016	957	1265	468	493	884	869	333	2256	2170	1033	1702	1769	861	1862	2098	932
